snake model,order,subj,sex,FR,BS,GP,PR,PD,freq-voc
CV,1,CN,M,1,1,52.14399153,40,160,3
CV,1,WT,F,5,0,67.27183513,53,150,5
CV,1,MM,F,8,4,71.31433556,3,160,12
CV,1,MN,F,11,1,51.19617225,40,160,8
CV,1,LL,F,1,2,63.46153846,45,160,0
CV,1,TG,F,0,0,50.55393586,50,160,0
CV,1,TG2,M,0,0,24.63496818,43,160,0
CV,1,BT,F,0,0,27.64051884,65,150,0
CV,1,RB,F,2,0,51.03833866,30,165,0
CV,1,GN,F,11,5,30.03713113,57,240,1
CV,2,GD,M,0,1,26.62425696,20,200,0
CV,2,TT,M,5,0,33.04347826,35,155,4
CV,3,RM,F,35,2,74.35233161,210,250,30
CV,3,EN,F,29,1,70.96774194,77,109,NA
CV,3,RB,F,5,1,73.83716576,68,197,0
CV,3,MM,F,21,4,57.86121031,97,125,30
CV,3,BB1,F,3,1,65.55757209,74,125,0
CV,3,TT,M,9,1,55.25987674,20,110,4
CV,3,KL,F,0,1,64.32616082,103,225,0
CV,3,BB2,F,3,3,65.60123443,103,135,0
CV,3,GN,F,17,1,45.53775744,83,170,15
CV,3,TD,F,9,0,54.83672212,10,94,5
CV,3,TG,F,0,0,47.68529076,107,115,0
CV,3,BK,M,18,1,46.96158797,65,138,13
CV,3,LL,F,0,2,51.51765679,75,189,0
CV,3,TM,F,5,0,79.72151899,70,115,2
CV,3,YL,M,7,2,64.53312051,71,88,2
CV,3,GD,M,6,2,51.05077769,67,210,0
CV,3,WT,F,0,0,52.84104825,68,171,0
CV,3,CN,M,6,0,34.89304813,75,140,3
CV,3,CC,M,12,0,71.38301923,65,168,1
CV,5,LL,F,3,3,24.72683124,26,45,4
CV,5,MM,F,2,2,52.30460922,45,80,3
CV,5,MN,F,0,0,53.42857143,45,71,0
CV,5,TT,M,1,0,77.00072098,10,102,0
CV,5,KL,F,0,0,64.4028103,35,70,0
CV,5,TM,F,3,2,73.28015952,15,73,3
CV,5,BT,F,0,1,18.86387996,110,111,0
CV,5,TD,F,0,3,73.35805085,12,122,0
CV,5,CC,M,0,7,43.58722359,20,92,0
CV,5,RB,F,2,1,28.4426922,40,115,0
CV,5,GD,M,3,0,41.2822819,0,46,0
CV,5,RM,F,0,4,39.58753966,72,91,0
CV,5,CN,M,0,0,18.30708661,139,139,0
CV,5,BK,M,4,0,74.53416149,0,13,0
CV,5,BB2,F,1,0,28.44186047,120,140,0
CV,5,YL,M,4,0,72.14038128,0,42,0
CV,6,TG2,M,0,0,16.63244353,90,125,0
CV,7,TM,F,7,1,63.09285237,58,220,11
CV,7,BB2,F,0,0,36.39417693,155,173,0
CV,7,MM,F,5,1,43.87696981,56,81,2
CV,8,AF,F,6,0,40.38905374,10,146,6
CV,10,LL,F,0,0,6.865671642,66,50,0
CV,10,YL,M,3,0,42.26,475,550,0
CV,10,KL,F,3,0,48.12182741,25,52,3
CV,10,RM,F,0,0,45.37675776,48,51,0
CV,10,MM,F,18,1,48.04643507,57,83,19
CV,10,GN,F,2,0,15.72208624,62,90,1
CV,10,BK,M,0,0,60.03546773,10,54,0
CV,10,BB2,F,0,0,16.83978596,64,109,0
CV,10,TG2,M,1,0,29.85847428,57,86,0
CV,10,MN,F,1,0,51.58166559,67,85,0
CV,10,GD,M,0,0,22.31457801,76,85,0
