snake model,order,subj,sex,FG,SS,BS,GP,PR,PD,VO,TT
PY,4,RM,F,20,15,2,74.35233161,210,250,30,386
PY,4,EN,F,28,1,1,70.96774194,77,109,,310
PY,4,RB,F,0,5,1,73.83716576,68,197,0,133.51
PY,4,MM,F,20,1,4,57.86121031,97,125,30,103.61
PY,4,BB1,F,0,3,1,65.55757209,74,125,0,99.18
PY,4,TT,M,6,3,1,55.25987674,20,110,4,280.71
PY,4,KL,F,0,0,1,64.32616082,103,225,0,17.66
PY,4,BB2,F,2,1,3,65.60123443,103,135,0,90.73
PY,4,GN,F,12,5,1,45.53775744,83,170,15,183.54
PY,4,TD,F,6,3,0,54.83672212,10,94,5,162.3
PY,4,TG,F,0,0,0,47.68529076,107,115,0,43.85
PY,4,BK,M,11,7,1,46.96158797,65,138,13,295.22
PY,4,LL,F,0,0,2,51.51765679,75,189,0,84.67
PY,4,TM,F,2,3,0,79.72151899,70,115,2,39.5
PY,4,YL,M,2,5,2,64.53312051,71,88,2,62.65
PY,4,GD,M,0,6,2,51.05077769,67,210,0,252.67
PY,4,WT,F,0,0,0,52.84104825,68,171,0,81.66
PY,4,CN,M,3,3,0,34.89304813,75,140,3,82.28
PY,4,CC,M,3,9,0,71.38301923,65,168,1,210.12
PY,9,RM,F,5,1,0,48.65190541,235,240,,132.78
PY,9,CC,M,0,4,0,74.33493496,250,250,0,85.33
PY,11,GN,F,5,0,0,73.74301676,150,157,6,12.53
PY,11,CN,M,0,0,0,26.68559262,155,157,0,14.09
PY,11,TG2,M,3,1,1,65.57837458,103,210,,56.97
