bs,model,order,subj,sex
0,bb,12,GD,M
0,bb,12,MM,F
0,bb,12,RB,F
0,bb,12,CN,M
0,bb,12,BK,M
0,bb,12,TT,M
0,bb,12,KL,F
0,bb,12,BB2,F
0,bb,13,TG,F
0,bb,13,MN,F
0,bb,13,TT,M
0,bb,13,MM,F
0,bb,13,KL,F
0,bb,13,BK,M
0,bb,14,BT,F
0,bb,14,BB2,F
0,bb,14,TD,F
0,bb,14,TG2,M
0,bb,14,BB1,F
0,bb,14,CC,M
0,bb,15,TG2,M
0,bb,15,BB2,F
0,bb,15,GD,M
0,bb,15,LL,F
0,bb,15,RM,F
0,bb,15,RB,F
0,bb,15,TT,M
1,cv,1,CN,M
0,cv,1,WT,F
4,cv,1,MM,F
1,cv,1,MN,F
2,cv,1,LL,F
0,cv,1,TG,F
0,cv,1,TG2,M
0,cv,1,BT,F
0,cv,1,RB,F
5,cv,1,GN,F
1,cv,2,GD,M
0,cv,2,TT,M
4,cv,3,YL,M
1,cv,3,TT,M
0,cv,3,MM,F
3,cv,5,LL,F
2,cv,5,MM,F
0,cv,5,MN,F
0,cv,5,TT,M
0,cv,5,KL,F
2,cv,5,TM,F
1,cv,5,BT,F
3,cv,5,TD,F
7,cv,5,CC,M
1,cv,5,RB,F
0,cv,5,GD,M
4,cv,5,RM,F
0,cv,5,CN,M
0,cv,5,BK,M
0,cv,5,BB2,F
0,cv,5,YL,M
0,cv,6,TG2,M
1,cv,7,TM,F
0,cv,7,BB2,F
1,cv,7,MM,F
0,cv,10,LL,F
0,cv,10,YL,M
0,cv,10,KL,F
0,cv,10,RM,F
1,cv,10,MM,F
0,cv,10,GN,F
0,cv,10,BK,M
0,cv,10,BB2,F
0,cv,10,TG2,M
0,cv,10,MN,F
0,cv,10,GD,M
2,py,4,RM,F
1,py,4,EN,F
1,py,4,RB,F
4,py,4,MM,F
1,py,4,BB1,F
1,py,4,TT,M
1,py,4,KL,F
3,py,4,BB2,F
1,py,4,GN,F
0,py,4,TD,F
0,py,4,TG,F
1,py,4,BK,M
2,py,4,LL,F
0,py,4,TM,F
2,py,4,YL,M
2,py,4,GD,M
0,py,4,WT,F
0,py,4,CN,M
0,py,4,CC,M
0,py,9,RM,F
0,py,9,CC,M
0,py,11,GN,F
0,py,11,CN,M
1,py,11,TG2,M
