pr,model,order,subj,sex
0,bb,12,GD,M
0,bb,12,MM,F
71,bb,12,RB,F
67,bb,12,CN,M
23,bb,12,BK,M
0,bb,12,TT,M
87,bb,12,KL,F
36,bb,12,BB2,F
52,bb,13,TG,F
27,bb,13,MN,F
87,bb,13,TT,M
66,bb,13,MM,F
115,bb,13,KL,F
150,bb,13,BK,M
55,bb,14,BT,F
67,bb,14,BB2,F
65,bb,14,TD,F
65,bb,14,TG2,M
105,bb,14,BB1,F
65,bb,14,CC,M
8,bb,15,TG2,M
28,bb,15,BB2,F
50,bb,15,GD,M
74,bb,15,LL,F
155,bb,15,RM,F
185,bb,15,RB,F
85,bb,15,TT,M
40,cv,1,CN,M
53,cv,1,WT,F
3,cv,1,MM,F
40,cv,1,MN,F
45,cv,1,LL,F
50,cv,1,TG,F
43,cv,1,TG2,M
65,cv,1,BT,F
30,cv,1,RB,F
57,cv,1,GN,F
20,cv,2,GD,M
35,cv,2,TT,M
20,cv,3,YL,M
20,cv,3,TT,M
35,cv,3,MM,F
26,cv,5,LL,F
45,cv,5,MM,F
45,cv,5,MN,F
10,cv,5,TT,M
35,cv,5,KL,F
15,cv,5,TM,F
110,cv,5,BT,F
12,cv,5,TD,F
20,cv,5,CC,M
40,cv,5,RB,F
0,cv,5,GD,M
72,cv,5,RM,F
139,cv,5,CN,M
0,cv,5,BK,M
120,cv,5,BB2,F
0,cv,5,YL,M
90,cv,6,TG2,M
58,cv,7,TM,F
155,cv,7,BB2,F
56,cv,7,MM,F
66,cv,10,LL,F
475,cv,10,YL,M
25,cv,10,KL,F
48,cv,10,RM,F
57,cv,10,MM,F
62,cv,10,GN,F
10,cv,10,BK,M
64,cv,10,BB2,F
57,cv,10,TG2,M
67,cv,10,MN,F
76,cv,10,GD,M
210,py,4,RM,F
77,py,4,EN,F
68,py,4,RB,F
97,py,4,MM,F
74,py,4,BB1,F
20,py,4,TT,M
103,py,4,KL,F
103,py,4,BB2,F
83,py,4,GN,F
10,py,4,TD,F
107,py,4,TG,F
65,py,4,BK,M
75,py,4,LL,F
70,py,4,TM,F
71,py,4,YL,M
67,py,4,GD,M
68,py,4,WT,F
75,py,4,CN,M
65,py,4,CC,M
235,py,9,RM,F
250,py,9,CC,M
150,py,11,GN,F
155,py,11,CN,M
103,py,11,TG2,M
