SVC,LDA,cv,test
63.82419711435473,63.2351282869832,10,40.0
66.10147818145546,62.57392926242172,10,30.0
65.49210873032384,64.83537087118322,10,20.0
63.13390553836981,63.21122659906216,50,40.0
64.76401273341261,63.50072249607999,50,30.0
64.95916525864568,64.82040978365248,50,20.0
62.8350442278745,61.82203341810012,100,40.0
64.22195753695125,61.9562668973105,100,30.0
65.1503003910022,63.862559592293586,100,20.0
62.784255714461025,62.43016910405196,200,40.0
64.15930794047802,62.162531751737895,200,30.0
65.29974013984791,62.63929582386388,200,20.0
62.23918084850878,61.5842963632764,500,40.0
63.75116216282577,61.50209008830671,500,30.0
64.54665532978447,61.582148312793336,500,20.0
