SVC,LDA,cv,test
77.79414908259459,76.91158405924813,10,40.0
78.39056026607514,75.18007647069433,10,30.0
79.8408029878618,75.60585901027079,10,20.0
77.00778445013151,76.22807030433005,50,40.0
79.89239544250987,76.09044082707697,50,30.0
80.23137028090588,77.15800426783399,50,20.0
77.08419457711824,75.90289209285578,100,40.0
79.40698233079642,75.74361648613971,100,30.0
80.57781311825428,76.87872780813956,100,20.0
77.86755824133549,76.00773505203883,200,40.0
79.1130851791055,75.70007003444849,200,30.0
80.02402452423738,75.88381835957301,200,20.0
76.97643403482353,75.98781430613971,500,40.0
78.14553492532993,75.58382223581444,500,30.0
79.121338407035,75.66788022263255,500,20.0
