SVC,LDA,cv,test
90.04586235021017,92.44320534537925,10,40.0
90.0485711828591,90.74447761560765,10,30.0
88.01448551448551,89.498001998002,10,20.0
88.34212372380566,89.88002826777425,50,40.0
87.51680814026017,90.08125876531449,50,30.0
87.0040265290265,89.93018925518923,50,20.0
88.203883240058,89.10905420435942,100,40.0
88.45430188576475,89.77305629526991,100,30.0
88.21529442779442,90.07881285381283,100,20.0
88.15607876214536,89.18168810714593,200,40.0
87.90927598802986,89.37437140173208,200,30.0
87.52196879917466,89.4288022435081,200,20.0
87.9379659330539,88.9203233336363,500,40.0
87.95652404870671,89.25801428104059,500,30.0
87.58380095394801,89.62809202235674,500,20.0
